# 二简词
be	表示
fkooo	怾
fkooou	怾
fkoou	忮
fkooua	恉
fkoouo	寘 呮 懥 忮
fkoouu	𰑬
fkoova	窒
fkou	吱
fkouo	嚔
fkouoa	吱
fkouoo	只 嚔
fkouov	熫
fkov	痔
fkovo	戠
fkovoi	戠
fkovou	旘
fkovu	袠
fkovuv	袠
fkovv	痣
fkovva	痓 庢 廌
fkovvo	庤 痔 痣
fkovvv	瘈
fku	知
fkua	旨
fkuai	狾
fkuaia	帋
fkuaiu	狾
fkuaiv	凪
fkuao	炙
fkuaoi	旨
fkuaoo	夂
fkuaou	觯 炙
fkuau	㩼
fkuauo	㩼
fkuauv	猘
fkuav	氏
fkuava	氏
fkuavo	鿵
fkuo	直
fkuoa	支
fkuoaa	乿 𦀂
fkuoai	疐 𨙸
fkuoao	支
fkuoi	𤴡
fkuoia	直 𤴡
fkuoo	豸
fkuooa	膣
fkuoou	嗭 豸
fkuoov	𢧜 𧧬
fkuov	𡌴
fkuova	臷
fkuovo	𡌴
fkuu	质
fkuua	脂
fkuuaa	卮
fkuuai	巵
fkuuao	脂
fkuuav	胝
fkuui	徵
fkuuia	徴 徵
fkuuii	劕
fkuuiv	徏
fkuuo	肢
fkuuoa	憄 肢
fkuuu	斦
fkuuuo	徝 质
fkuuuu	斦
fkuv	制
fkuva	穉
fkuvav	稺 穉
fkuvi	稚
fkuvii	制
fkuvio	雉 稚
fkuviv	𡈼
fkuvo	智
fkuvoi	𭥍 智
fkuvoo	知
fkuvu	秩
fkuvua	秖
fkuvuo	稙
fkuvuv	秩
fkv	至
fkva	致
fkvaa	郅
fkvaai	郅
fkvao	轵
fkvaou	轵
fkvauv	致
fkvav	轾
fkvava	臸 轾
fkvavo	至
fkvi	职
fkvia	郦
fkviai	郦
fkvii	栉
fkviia	栉
fkviou	职
fkviu	酯
fkviua	酯
fkviv	杫
fkvivi	杫
fkvo	志
fkvoi	址
fkvoiv	址
fkvoo	𠮛
fkvooa	志
fkvoov	墌
fkvou	枳
fkvoua	坁
fkvouo	埴 枳
fkvouv	垁
fkvov	坧
fkvovi	𰊂
fkvovu	坧
fkvu	枝
fkvua	栺
fkvuao	栺
fkvuo	植
fkvuoa	枝
fkvuoi	植
fkvuov	榰
fkvuu	殖
fkvuuo	殖
fkvuuu	𬃊 𰧉
fkvuuv	栀 梔
fkvuv	厔
fkvuva	厔
fkvuvo	𢧤
fkvuvv	椥 柣
fkvv	桎
fkvvao	桎
fkvvo	梽
fkvvoo	梽
fkvvu	㯄
fkvvuu	㯄
fl	桌
fla	浊
flaa	濯
flaaov	濯
flaau	缴
flaaui	缴
flaauu	斲
flai	淖
flaiav	浊
flaivo	淖
flao	浞
flaoa	叕
flaoao	叕
flaoiv	浞
flau	汋
flaua	娺
flauao	汋 娺
flauu	妰
flauuv	妰
flav	涿
flavua	涿
fli	捉
flia	佛
fliai	劅
fliaii	劅
fliaiv	斀
fliao	仏
fliaoo	仏
fliau	䵠
fliaua	䵠
fliava	佛
flii	著
fliia	茁
fliiai	茁
fliii	䓬
fliiiv	䓬
fliio	丵
fliiou	丵
fliiuo	著
fliiv	倬
fliivo	倬
flio	镯
flioi	䦃
flioia	镯
flioii	䦃
flioo	𰾃
fliooi	𰾃
fliu	拙
fliua	擢
fliuai	拙
fliuao	擢
fliui	擆
fliuii	擆
fliuo	撯
fliuoi	捉
fliuou	撯
fliuv	仸
fliuvu	仸
fliv	卓
flivuo	卓
flivvv	桌
flo	着
floa	诼
floao	禚
floaou	禚
floavu	诼
floi	躅
floia	噣
floiai	噣
floii	晫
floiia	躅
floiiv	晫
floiv	啅
floivo	啅
flou	灼
floua	炪
flouai	炪
floui	焯
flouia	着
flouii	烵
flouiv	焯
flouua	灼
flov	啄
flovu	𬸦
flovua	啄 𬸦
flu	斵
fluauu	斵
fluo	斱
fluouu	斱
fluu	彴
fluuua	彴
fluv	䵵
fluvia	䵵
flv	酌
flva	棳
flvaoa	棳
flvi	棹
flvia	梻
flviav	梻
flviu	斮
flviua	酌
flviuu	斮
flviv	槕
flvivo	棹 槕
flvo	棁
flvoa	坲
flvoav	坲
flvoo	墌
flvoov	墌
flvou	圴
flvoua	圴
flvouo	棁
flvov	坧
flvovu	坧
flvu	斫
flvui	剢
flvuii	剢
flvuo	梲
flvuoo	梲
flvuuu	斫
flvuv	櫡
flvuvo	櫡
flvv	琢
flvvi	琸
flvviv	琸
flvvu	椓
flvvua	椓
flvvvu	琢
fm	装
fma	奘
fmai	娤
fmaiau	娤
fmaio	焋
fmaiou	焋
fmaivu	奘
fmav	湷
fmavvv	湷
fmi	撞
fmia	幢
fmiaov	幢
fmii	荘
fmiiov	荘
fmio	僮
fmiovo	僮
fmiuov	撞
fmo	状
fmoo	憧
fmooov	憧
fmou	粧
fmouov	粧
fmov	壮
fmova	妆
fmovau	妆
fmovo	戆
fmovoa	戅 戆
fmovov	装
fmovv	庄
fmovvo	庒 壮 庄
fmovvu	状
fmv	桩
fmva	梉
fmvaiv	梉
fmvo	壵
fmvovo	壵
fmvovu	桩
fn	分
fna	纷
fnaauo	纷
fnao	瀵
fnaou	翂
fnaouo	翂
fnaouv	瀵
fnau	汾
fnauo	𣸣
fnauoa	汾
fnauoi	𣸣
fnauu	妢
fnauuo	妢
fni	份
fnia	蚡
fniau	岎
fniauo	帉 𪩸 蚡 岎
fnii	芬
fniiu	蕡
fniiuo	芬 蕡
fniiv	棻
fniivv	棻
fniu	偾
fniuoa	份
fniuoi	偾
fno	粉
fnoi	昐
fnoiuo	昐
fnoo	愤
fnoouo	愤
fnou	粪
fnouo	吩
fnouoa	㖹 吩
fnouu	朆
fnouuo	𰞻 哛 粉 朆
fnouvi	粪
fnov	竕
fnovuo	竕
fnu	氛
fnua	鲼
fnuauo	鲼
fnui	鼢
fnuiuo	鼢
fnuo	忿
fnuoau	分
fnuoi	蚠
fnuoia	蚠
fnuoo	炃
fnuooa	忿
fnuoou	兺 炃
fnuov	弅
fnuovu	弅
fnuu	朌
fnuuoa	朌
fnuvuo	氛
fnv	奋
fnva	𮝷
fnvauo	𮝷
fnvi	酚
fnvia	梤
fnviai	梤
fnviuo	酚
fnvo	坟
fnvoov	坟
fnvou	雰
fnvouo	坋 雰
fnvouv	坆
fnvu	豮
fnvuia	奋
fnvuo	枌
fnvuoa	枌
fnvuoi	𰗺
fnvuou	燓
fnvuu	㱵
fnvuuo	豮 㱵
fnvv	焚
fnvvou	焚
fnvvu	棼
fnvvuo	玢 棼
fp	放
fpa	防
fpaa	纺
fpaaov	纺
fpai	埅
fpaii	淓
fpaiio	淓
fpaiov	防
fpaivo	埅
fpao	汸
fpaova	汸
fpau	妨
fpauov	妨
fpi	仿
fpia	蚄
fpiaov	蚄
fpii	芳
fpiiov	芳
fpio	钫
fpioi	𮸐
fpioii	𮸐
fpioov	钫
fpiov	倣
fpiova	仿 倣
fpo	方
fpoa	房
fpoao	访
fpoaov	房 访
fpoi	昉
fpoio	昘
fpoiov	昉 昘
fpov	邡
fpovai	邡
fpovau	方
fpovu	旊
fpovuv	放 旊
fpu	彷
fpua	鲂
fpuaov	鲂
fpuo	肪
fpuova	肪
fpuu	舫
fpuuov	彷 舫
fpuv	牥
fpuvov	牥
fpv	坊
fpva	匚
fpvaa	匚
fpvi	髣
fpviov	髣
fpvo	枋
fpvoov	坊
fpvov	堏
fpvova	枋
fpvovo	堏
fq	抓
fqi	挝
fqiuuu	抓
fqiuvi	挝
fqu	爪
fquuio	爪
fquv	𰩻
fquvvi	𰩻
fqv	髽
fqviii	髽
fqvv	𭪆
fqvvio	𭪆
fr	风
fra	缝
fraaua	缝
frai	溄
fraiai	溄
frao	赗
fraoia	赗
frau	沨
fraua	浲
frauao	漨 浲
frauau	沨
frauu	㛔
frauua	㛔
frauv	妦
frauvv	妦
frav	沣
fravo	湗
fravov	湗
fravvv	沣
fri	峰
fria	蜂
friau	峯
friaua	峰 蜂 峯
friav	崶
friavo	豊 崶
frii	葑
friia	僼
friiav	僼
friivo	葑
frio	锋
frioua	锋
friu	㐽
friuau	㐽
friuu	捀
friuua	摓 捀
friv	俸
friva	酆
frivai	酆
frivv	仹
frivvv	俸 仹
fro	疯
froa	讽
froaua	讽
froo	𫲸
froovv	𫲸
frou	烽
froui	焨
frouia	焨
frouu	熢
frouua	𮳠 烽 熢
frov	冯
frovaa	冯
frovua	疯
frovv	唪
frovvv	唪
fru	凤
frua	逢
fruaao	凤
fruai	蠭
fruaia	䗬 蠭
fruao	㷭
fruaoa	逢
fruaoo	㶻
fruaou	㷭
fruauo	风
fruav	凨
fruavo	凬
fruavu	凮
fruavv	夆 凨
fruu	䏎
fruuao	䏎
frv	丰
frvi	覂
frviuo	覂
frvo	封
frvoi	霻
frvoia	霻
frvou	埄
frvoua	堸 埄
frvov	堼
frvovi	封
frvovo	堼
frvu	枫
frvua	桻
frvuao	桻
frvuau	枫
frvuu	砜
frvuua	砜
frvv	奉
frvvu	𮨴
frvvua	𮨴
frvvvi	丰
frvvvv	奉
fs	发
fsa	法
fsai	浌
fsaiva	浌
fsao	溠
fsaouv	溠
fsaov	発
fsaovu	灋
fsaovv	発
fsau	姂
fsauao	发
fsauuo	姂
fsav	渣
fsavoa	法
fsavoi	渣
fsavu	㳒
fsavua	沷
fsavuo	㳒
fsavuv	㞚
fsi	罚
fsia	眨
fsiao	䖳
fsiaoa	罚
fsiaoo	䖳
fsiau	蚱
fsiauo	眨
fsiauv	蚱
fsiav	甴
fsiavi	蜡 甴
fsii	苲
fsiia	彂
fsiiav	彂
fsiii	剳
fsiiii	剳
fsiiuv	苲
fsio	铡
fsioa	傠
fsioao	铡
fsioav	傠
fsiou	㗬
fsioua	㗬
fsiu	扎
fsiua	紥
fsiuaa	扎 紥
fsiui	摣
fsiuia	抯
fsiuiv	摣
fsiuo	挓
fsiuoo	搾 挓
fsiuu	拃
fsiuua	搩
fsiuuv	拃
fsiuv	揸
fsiuvo	揸
fsiv	伐
fsiva	皻
fsivao	𠭯
fsivau	伐 皻
fsivu	偧
fsivuo	偧
fsivv	垡
fsivvi	佱
fsivvo	垡
fso	炸
fsoa	诈
fsoauv	诈
fsoav	䄍
fsoavi	䄍
fsoi	阀
fsoii	闸
fsoiia	闸
fsoiiv	阀
fsoiu	哳
fsoiuu	哳
fsoiv	𠲎
fsoiva	𠲎
fsoo	咤
fsooi	宱
fsooiu	宱
fsoooa	咤
fsoou	怍
fsoouv	怍
fsoov	喥
fsoovu	喥
fsou	咋
fsouu	鲝
fsouua	鲝
fsouuv	灹 炸
fsouv	吒
fsouva	吒
fsouvi	煠 咋
fsov	喳
fsovi	喋
fsovii	喋
fsovoi	喳
fsovu	痄
fsovuv	痄
fsu	乏
fsua	鲊
fsuauv	鲊
fsuav	馇
fsuavo	馇
fsui	齄
fsuii	齇
fsuiiv	齇
fsuiu	牐
fsuiuv	牐
fsuivo	齄
fsuoao	乏
fsuv	乍
fsuvi	筏
fsuvii	劄
fsuviv	箚 乍 筏
fsv	札
fsva	轧
fsvaa	紮 札
fsvaaa	轧 紮
fsvai	蚻
fsvaia	蚻
fsvau	𭩰
fsvaua	𭩰
fsvi	醡
fsvia	酦
fsviao	醗
fsviau	酦
fsviav	柵 査
fsvioo	醡
fsviv	栰
fsviva	樝 栰
fsvivi	鞢
fsvivu	髪
fsvo	榨
fsvoa	𫭨
fsvoau	𫭨
fsvoi	查
fsvoiv	查
fsvoo	霅
fsvooa	榨
fsvoov	霅
fsvu	栅
fsvuau	栅
fsvuu	砟
fsvuua	奓
fsvuuv	厏 砟
fsvuv	砝
fsvuvi	柞
fsvuvo	碴 砝
fsvuvu	䃎
fsvv	楂
fsvva	琺
fsvvav	琺
fsvvoi	楂
fsvvv	珐
fsvvvo	珐
ft	转
fta	赚
ftaa	䌸
ftaavv	䌸
ftai	䧘
ftaia	𰆋
ftaiaa	䧘
ftaiai	孨 𰆋
ftaoou	赚
ftau	𰋹
ftauvv	𰋹
ftav	沌
ftavai	沌
fti	撰
ftia	颛
ftiav	僎
ftiava	僎
ftiavu	耑 颛
ftiuav	撰
ftiv	传
ftivu	𠧢
ftivua	𠧢
ftivva	传
fto	啭
ftoa	𬤥
ftoaav	𬤥
ftoo	恮
ftooiv	恮
ftou	灷
ftouvu	灷
ftovai	啭
ftu	篆
ftua	馔
ftuaav	馔
ftuv	䏝
ftuva	篹
ftuvaa	篆 篹
ftuvi	䉵
ftuvio	䉵
ftuvo	籑
ftuvoa	籑
ftuvva	䏝
ftv	专
ftvavv	转
ftvi	専
ftvia	叀
ftviao	叀
ftvivi	専
ftvo	𫭞
ftvoa	堟
ftvoaa	堟
ftvovv	𫭞
ftvu	砖
ftvuvv	砖
ftvv	瑑
ftvvaa	瑑
ftvvao	专
ftvvi	𰄞
ftvvii	𰄞
fw	飞
fwa	费
fwaa	沸
fwaai	绯
fwaaii	濷
fwaaiv	𬴂 绯
fwaava	沸
fwai	陫
fwaiiv	陫
fwaiv	渄
fwaivv	渄
fwau	妃
fwaua	淝
fwauai	淝
fwauav	妃
fwaui	婔
fwauiv	婔
fwauo	𢞵
fwauoa	𢞵
fwauoo	飞
fwav	屝
fwavao	费
fwaviv	屝
fwi	非
fwii	菲
fwiiiv	菲
fwiiv	芾
fwiivi	芾
fwio	镄
fwioav	镄
fwiu	俷
fwiuai	俷
fwiv	斐
fwiva	翡
fwivao	翡
fwivau	婓
fwivi	蜚
fwivia	蜚
fwivii	剕
fwiviv	非
fwivov	斐
fwivu	䩁
fwivuv	䩁
fwivv	棐
fwivvu	奜 猆
fwivvv	棐
fwo	废
fwoa	诽
fwoai	扉
fwoaiv	诽 扉
fwoi	啡
fwoia	昲
fwoiav	𪰶 昲
fwoii	暃
fwoiiv	䠊 暃
fwoivv	啡
fwoo	悱
fwooiv	悱
fwov	吠
fwova	疿
fwovao	廃 㾱
fwovau	𬏦 废
fwovav	疿
fwovi	痱
fwoviv	痱
fwovuo	吠
fwu	肥
fwua	狒
fwuaav	狒
fwuai	鲱
fwuaii	朏
fwuaiv	肥 鲱
fwui	腓
fwuivv	腓
fwuv	肺
fwuvia	肺
fwuvo	𫂈
fwuvov	𫂈
fwuvv	篚
fwuvvi	篚
fwv	匪
fwva	榌
fwvauo	榌
fwvi	髴
fwviav	髴
fwvivv	匪
fwvo	霏
fwvoa	𫭨
fwvoau	𫭨
fwvoiv	霏
fwvov	𪲮
fwvovu	𪲮
fwvu	厞
fwvuiv	厞
fwvv	榧
fwvvi	杮
fwvvia	杮
fwvviv	榧
fx	装
fxa	奘
fxai	娤
fxaiau	娤
fxaio	焋
fxaiou	焋
fxaivu	奘
fxav	湷
fxavvv	湷
fxi	撞
fxia	幢
fxiaov	幢
fxii	荘
fxiiov	荘
fxio	僮
fxiovo	僮
fxiuov	撞
fxo	状
fxoo	憧
fxooov	憧
fxou	粧
fxouov	粧
fxov	壮
fxova	妆
fxovau	妆
fxovo	戆
fxovoa	戅 戆
fxovov	装
fxovv	庄
fxovvo	庒 壮 庄
fxovvu	状
fxv	桩
fxva	梉
fxvaiv	梉
fxvo	壵
fxvovo	壵
fxvovu	桩
fy	中
fya	终
fyaaua	终
fyao	刣
fyaoii	刣
fyau	妐
fyaua	汷
fyauao	泈 汷
fyaui	妕
fyauia	妕
fyauu	媑
fyauuo	妐
fyauuv	媑
fyi	众
fyia	忠
fyiai	盅
fyiaia	蚛 盅
fyiaoa	忠
fyiau	蚣
fyiaui	眾 幒
fyiauo	蚣
fyiavi	中
fyii	仲
fyiia	𰱛
fyiiaa	𰱛
fyiiav	仲
fyiii	茽
fyiiii	㐺 众 茽
fyio	钟
fyioia	钟
fyioo	𲈛
fyioov	𲈛
fyiou	锺
fyiouv	锺
fyiu	伀
fyiuoa	伀
fyiuv	偅
fyiuvi	偅
fyiv	歱
fyivuv	歱
fyo	衷
fyoa	冢
fyoavu	冢
fyoi	踵
fyoiuv	踵
fyoo	忪
fyoouo	忪
fyou	喠
fyouu	炂
fyouuo	炂
fyouuv	煄
fyouvi	喠
fyovia	衷
fyu	种
fyua	螽
fyuai	狆
fyuaia	螽 狆
fyuao	夂
fyuaoo	夂
fyui	肿
fyuiav	肿
fyuiu	乑
fyuiuu	乑
fyuo	𠛀
fyuoii	𠛀
fyuu	舯
fyuuia	舯
fyuuu	彸
fyuuuo	彸
fyuuuv	㣫
fyuv	重
fyuvi	㲴
fyuvia	种 重 㲴
fyuvo	穜
fyuvov	穜
fyv	柊
fyvo	塚
fyvooa	塚
fyvou	堹
fyvouv	堹
fyvu	尰
fyvuao	柊
fyvuuv	尰
fz	找
fza	召
fzaa	沼
fzaauo	沼
fzau	妱
fzaua	巶
fzauau	妱
fzauav	巶
fzauoo	召
fzi	招
fzia	罩
fziaiv	罩
fziau	佋
fziauo	佋
fzio	钊
fzioa	𬬿
fzioau	𬬿
fzioii	钊
fziuau	招
fziuva	找
fzo	照
fzoa	诏
fzoaa	肇
fzoaau	诏
fzoaav	肈 肇
fzoi	昭
fzoiau	昭
fzoio	曌
fzoioo	照 曌
fzoiv	啅
fzoivo	啅
fzou	着
fzoua	啁
fzouau	炤
fzouav	啁
fzouia	着
fzouo	嘲
fzouoi	燳
fzouoo	嘲
fzov	旐
fzovo	𡁻
fzovoi	𡁻
fzovuv	旐
fzu	朝
fzua	𬶐
fzuao	𠮥
fzuaoo	𠮥
fzuauo	𬶐
fzuo	兆
fzuoau	兆
fzuouu	朝
fzuu	爪
fzuui	䑲
fzuuio	爪
fzuuiv	䑲
fzuv	笊
fzuvuu	笊
fzv	赵
fzva	櫂
fzvaov	櫂
fzvi	棹
fzvivo	棹
fzvo	垗
fzvouo	赵 垗
fzvu	枛
fzvuui	枛
g	个
gb	规
gba	癸
gbaa	湀
gbaaou	湀
gbai	陒
gbaiua	陒
gbaovv	癸
gbau	妫
gbaua	氿
gbauaa	氿
gbauao	汣
gbauo	媯
gbauou	妫 媯
gbauu	姽
gbauua	姽
gbav	溎
gbavvo	溎
gbi	归
gbia	贵
gbiaao	贵
gbiai	刿
gbiaii	刿
gbiaio	嶲 巂
gbiav	眭
gbiavo	眭
gbiavu	嶡
gbiu	傀
gbiua	佹
gbiuav	帰 归 佹
gbiui	𰔋
gbiuia	傀 𰔋
gbiuv	𰓻
gbiuvv	𰓻
gbiv	刽
gbiva	郐
gbivai	郐
gbivii	刽
gbo	跪
gboa	诡
gboao	𱓩
gboaou	𱓩
gboaua	诡
gboav	袿
gboavo	袿
gboi	闺
gboio	炅
gboiou	炅
gboiu	晷
gboiua	跪 晷
gboivo	闺
gboo	宄
gboou	恑
gbooua	宄 恑
gbou	炔
gboua	𠱓
gbouav	炔 𠱓
gbov	庋
gbovi	庪
gboviu	庪
gbovu	廆
gbovui	廆
gbovuo	攱 庋
gbu	鬼
gbua	龟
gbuai	𮬝
gbuaia	亀 龟 𮬝
gbuav	鲑
gbuavo	鲑
gbuavu	鳜
gbuavv	𫚜
gbui	皈
gbuiao	鬼
gbuiu	𣪕
gbuiua	𣪕
gbuiuu	皈
gbuo	攰
gbuoua	攰
gbuv	簋
gbuvav	簋
gbuvv	筀
gbuvvo	筀
gbv	桂
gbva	轨
gbvaua	轨
gbvi	桧
gbvia	椢
gbviav	椢
gbvivv	桧
gbvo	圭
gbvoa	邽
gbvoai	邽
gbvou	垝
gbvoua	𱉤 㰪 垝
gbvovo	圭
gbvu	硅
gbvua	朹
gbvuaa	朹
gbvuai	櫷
gbvuo	厬
gbvuoi	厬
gbvuvo	硅
gbvv	柜
gbvva	匦
gbvvai	匦
gbvvau	𫰹
gbvvav	柜
gbvvia	规
gbvvo	瓌
gbvvoi	昋
gbvvov	桂 瓌
gbvvu	瑰
gbvvua	𱉎
gbvvui	瑰
gbvvv	珪
gbvvvo	鬶 珪
gbvvvu	𬃀
gbvvvv	椝
gd	够
gda	购
gdaa	缑
gdaaia	缑
gdaoua	购
gdau	沟
gdauaa	沟
gdauu	姤
gdauuu	姤
gdauv	媾
gdauvv	媾
gdi	钩
gdia	岣
gdiau	㽛
gdiaua	蚼 岣 㽛
gdii	苟
gdiiu	芶
gdiiua	苟 芶
gdio	𰽭
gdioua	钩 𰽭
gdiu	佝
gdiuao	佝
gdiuu	拘
gdiuua	拘
gdiuv	搆
gdiuvv	搆
gdiv	傋
gdivvi	傋
gdo	诟
gdoauu	诟
gdou	煹
gdouvv	煹
gdov	痀
gdovua	痀
gdu	狗
gdua	勾
gduaao	勾
gduai	雊
gduaio	雊
gduao	句
gduaoo	句
gduau	夠
gduaua	够 狗 夠
gduo	耇
gduou	耈
gduoua	耉 耇 耈
gduv	篝
gduvu	笱
gduvua	笱
gduvvv	篝
gdv	构
gdvi	鞲
gdvivv	鞲
gdvo	垢
gdvoa	彀
gdvoai	㝅
gdvoau	㜌
gdvoav	彀
gdvoi	㨌
gdvoiu	撀 㨌
gdvoo	𦎯
gdvoou	𦎯
gdvou	𣫌
gdvoua	坸
gdvouo	𣫃 𣫌
gdvouu	垢
gdvouv	𤚲 𣪬 𤚼
gdvov	豰
gdvovu	豰
gdvu	枸
gdvuaa	构
gdvuao	枸
gdvv	觏
gdvvi	冓
gdvvia	觏 冓
gdvvo	遘
gdvvoa	遘
gdvvv	𫖕
gdvvvv	𫖕
ge	各
gea	隔
geaa	纥
geaauv	纥
geai	䧄
geaiua	䧄
geaivo	隔
geau	哿
geauu	呄
geauuo	呄
geauvo	哿
geav	滆
geavo	滒
geavoi	滆 滒
geavv	彁
geavvo	彁
gei	葛
geia	骼
geiai	蛤
geiaiv	蛤
geiau	虼
geiaua	蛒 骼
geiauv	虼
geii	佮
geiii	个
geiioi	葛
geiiu	茖
geiiua	茖
geiivo	佮
geio	铬
geioua	铬
geiov	镉
geiovo	鿔 镉
geiu	搁
geiui	搿
geiuiv	搿
geiuoi	搁
geiuu	挌
geiuua	挌
geiuuv	扢
geiuv	仡
geiuva	仡
geiv	鸽
geivo	合
geivoo	合
geivua	鸽
geivv	颌
geivvu	颌
geo	割
geoa	袼
geoaua	袼
geoav	𬤐
geoavo	𬤐
geoi	阁
geoii	𬮤
geoiia	嗰
geoiiv	𬮤
geoiu	吤
geoiua	阁
geoiui	吤
geoo	愅
geooii	割
geoovi	愅
geou	咯
geouao	咯
geoui	盖
geouia	盖
geov	嗝
geovoi	嗝
geovu	疙
geovua	𠺝
geovuv	疙
geu	胳
geua	饹
geuai	亇
geuaii	亇
geuaiv	匌
geuaoo	各
geuau	觡
geuaua	𱉮 𱇪 饹 觡
geuauu	㪾
geuu	舸
geuuao	胳
geuuv	肐
geuuva	肐
geuuvo	舸
geuv	膈
geuvi	箇
geuvia	箇
geuvoi	膈
gev	哥
geva	戈
gevai	𮝺
gevaii	𮝺
gevau	臵
gevaua	臵
gevauo	戈
gevi	革
geviia	革
gevo	歌
gevoa	戓
gevoau	戓
gevoi	鬲
gevoia	櫊 鬲
gevou	圪
gevoua	歌
gevouv	圪
gevov	塥
gevova	戨 㢦
gevovo	哥 塥
gevu	格
gevua	㦴
gevuao	格 㦴
gevuu	硌
gevuua	硌
gevuv	杚
gevuva	杚
gevv	槅
gevvoi	槅
gf	干
gfa	敢
gfaa	绀
gfaav	澉
gfaavi	绀 澉
gfai	淦
gfaio	汵
gfaioa	汵
gfaioo	淦
gfaiv	㽏
gfaivi	㽏
gfao	灨
gfaovo	灨
gfau	漧
gfauoo	漧
gfauv	皯
gfauvv	皯
gfav	泔
gfavii	泔
gfavuv	敢
gfi	擀
gfia	骭
gfiav	虷
gfiavv	䵟 骭 虷
gfii	苷
gfiivi	苷
gfiu	扞
gfiuuo	擀
gfiuvv	扞
gfiv	仠
gfivi	佄
gfivii	佄
gfivvi	仠
gfo	赣
gfoi	旰
gfoivv	旰
gfoo	忓
gfoovv	忓
gfov	疳
gfovi	咁
gfovii	咁
gfovio	凎
gfovua	赣
gfovv	𫎬
gfovvi	疳 𫎬
gfu	肝
gfua	鳡
gfuao	凲
gfuaou	凲
gfuavu	鳡
gfuo	榦
gfuoa	乹
gfuoaa	乹
gfuoi	倝
gfuoii	倝
gfuoiv	榦
gfuou	亁
gfuouv	亁
gfuv	竿
gfuvo	稈
gfuvoi	稈
gfuvv	秆
gfuvvi	𬕂 肝
gfuvvo	笴
gfuvvv	秆 竿
gfv	感
gfva	橄
gfvavi	橄
gfvi	甘
gfviiv	甘
gfviv	酐
gfvivv	酐
gfvo	赶
gfvoi	桿
gfvoiv	桿
gfvov	坩
gfvovi	坩
gfvovv	赶
gfvu	尴
gfvui	尶
gfvuii	尴 尶
gfvuo	檊
gfvuoa	感
gfvuoo	檊
gfvuv	矸
gfvuvv	矸
gfvv	杆
gfvvi	柑
gfvvii	干 柑
gfvvu	𱉊
gfvvua	𱉊
gfvvuv	攼
gfvvv	玕
gfvvvi	杆
gfvvvv	玕
gg	乖
gga	夬
ggav	叏
ggavao	叏
ggavuo	夬
ggi	拐
ggia	罫
ggiavo	罫
ggiu	掴
ggiui	𢮎
ggiuia	掴
ggiuiv	𢮎
ggiuoa	拐
ggiuv	㧔
ggiuvu	㧔
ggiv	郐
ggivai	郐
ggo	怪
ggoo	恠
ggooao	怪
ggoovu	恠
gguviv	乖
ggv	柺
ggvo	枴
ggvoau	柺 枴
gh	该
gha	改
ghaa	溉
ghaavv	溉
ghai	陔
ghaii	𬮿
ghaiia	𬮿
ghaiov	陔
ghao	赅
ghaoov	赅
ghau	戤
ghaui	漑
ghauia	漑
ghauo	姟
ghauov	姟
ghauva	戤
ghav	槩
ghavuv	改
ghavvv	槩
ghi	钙
ghia	乢
ghiaaa	乢
ghiao	峐
ghiaov	畡 峐
ghii	芥
ghiiiu	芥
ghiio	荄
ghiiov	荄
ghiiv	葢
ghiivu	葢
ghio	侅
ghiova	侅
ghiovi	钙
ghiu	摡
ghiuav	摡
gho	盖
ghoaov	该
ghoi	晐
ghoiov	晐
ghoo	忋
ghooav	忋
ghouia	盖
ghu	胲
ghua	匄
ghuai	匃
ghuaia	匃
ghuaov	匄
ghuova	胲
ghv	概
ghvavv	概
ghvi	丐
ghvii	㯼
ghviiv	㯼
ghviva	丐
ghvo	垓
ghvoov	垓
ghvu	杚
ghvui	槪
ghvuia	槪
ghvuva	杚
ghvv	瓂
ghvvii	瓂
gj	古
gja	姑
gjaa	淈
gjaavu	淈
gjai	孤
gjaiuu	孤
gjao	汩
gjaoii	汩
gjaov	䜼
gjaovo	䜼
gjau	沽
gjaua	夃
gjauao	夃
gjauoo	沽
gjauu	嫴
gjauua	泒
gjauuo	姑 嫴
gjav	瀔
gjavo	濲
gjavoo	瀔 濲
gji	固
gjia	骨
gjiai	蛊
gjiaia	崮 崓 蛊
gjiau	蛄
gjiaua	鹘
gjiauo	罟 䀦 固 蛄
gjiauu	罛 骨
gjii	菇
gjiia	菰
gjiiaa	傦
gjiiai	菰
gjiiau	菇
gjiiav	䓛
gjiii	蓇
gjiiia	蓇
gjiiu	苽
gjiiuu	苽
gjio	锢
gjioa	僱
gjioav	僱
gjioia	锢
gjiou	钴
gjiouo	钴
gjiu	估
gjiuoo	估
gjiuu	扢
gjiuuv	扢
gjo	雇
gjoa	诂
gjoaio	雇
gjoauo	诂
gjoav	𮸹
gjoavu	啒 𮸹
gjoi	嗗
gjoiaa	嗗
gjoo	愲
gjooia	愲
gjou	咕
gjoua	唃
gjouau	唃
gjouo	唂
gjouoi	唂
gjouoo	咕
gjouu	呱
gjouua	羖 呱
gjouuo	𦍩
gjov	痼
gjovi	凅
gjovia	痼 凅
gju	故
gjua	觚
gjuai	鲴
gjuaia	馉 鲴
gjuauu	觚
gjuo	谷
gjuoa	嘏
gjuoai	㒴
gjuoav	嘏
gjuoi	䀇
gjuoia	䀇
gjuoo	辜
gjuooa	怘
gjuooo	古 谷
gjuoov	辜
gjuou	鸪
gjuoua	鸪
gjuouv	故
